pdf,thumb,ok,width,height,bytes,error
"D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\ Anarchy, Blockchain and Utopia_ _A theory of political-socioeconomic _systems organised using Blockchain.pdf","D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\ Anarchy, Blockchain and Utopia_ _A theory of political-socioeconomic _systems organised using Blockchain.cover.jpg",True,425,600,55769,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Anarchy Status Updates and Utopia.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Anarchy Status Updates and Utopia.cover.jpg,True,464,600,26313,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Anarquia-de-las-criptomonedas.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Anarquia-de-las-criptomonedas.cover.jpg,True,480,600,151920,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Bitcoins i la criptoanarquia.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Bitcoins i la criptoanarquia.cover.jpg,True,424,600,78591,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Criptomonedas y libertad de empresa_Memoria para optar al grado de Licenciado en Ciencias Jurídicas y Sociales.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Criptomonedas y libertad de empresa_Memoria para optar al grado de Licenciado en Ciencias Jurídicas y Sociales.cover.jpg,True,464,600,15041,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto Heroínas_ _Las Divergencias en _Tiempos de Virtualidad.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto Heroínas_ _Las Divergencias en _Tiempos de Virtualidad.cover.jpg,True,425,600,55468,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto Politics_Notes on Sociotechnical Imaginaries of Governance in Blockchain Based Technologies.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto Politics_Notes on Sociotechnical Imaginaries of Governance in Blockchain Based Technologies.cover.jpg,True,444,600,28024,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-Anarchy Decentralized Finance Global Changes.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-Anarchy Decentralized Finance Global Changes.cover.jpg,True,464,600,40196,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-Anarchy vs. State Sovereignty_ _Navigating the Digital Frontier.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-Anarchy vs. State Sovereignty_ _Navigating the Digital Frontier.cover.jpg,True,425,600,23483,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-anarchyaparadigmshiftforsocietyandthelegalsystem-ZhukA.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-anarchyaparadigmshiftforsocietyandthelegalsystem-ZhukA.cover.jpg,True,425,600,10500,
